Year,Month,SB Red Sea Urchin Landing in Pounds (from California Waters)
2008,1,487278
2008,2,544782
2008,3,413553
2008,4,312183
2008,5,372737
2008,6,207026
2008,7,534421
2008,8,525084
2008,9,549331
2008,10,760281
2008,11,533923
2008,12,664126
2009,1,677262
2009,2,473317
2009,3,401378
2009,4,445640
2009,5,566122
2009,6,549167
2009,7,535201
2009,8,534404
2009,9,645126
2009,10,499727
2009,11,647961
2009,12,630052
2010,1,438715
2010,2,430065
2010,3,344571
2010,4,341140
2010,5,360931
2010,6,462492
2010,7,596138
2010,8,594218
2010,9,649260
2010,10,694459
2010,11,728183
2010,12,662655
2011,1,653285
2011,2,513282
2011,3,327388
2011,4,395814
2011,5,350686
2011,6,466942
2011,7,449623
2011,8,541327
2011,9,589979
2011,10,701107
2011,11,741354
2011,12,710950
2012,1,640088
2012,2,324251
2012,3,655321
2012,4,601697
2012,5,399662
2012,6,473558
2012,7,718788
2012,8,576040
2012,9,557958
2012,10,747823
2012,11,635803
2012,12,453547
2013,1,643726
2013,2,442364
2013,3,649801
2013,4,496246
2013,5,343316
2013,6,438530
2013,7,675459
2013,8,560981
2013,9,500731
2013,10,856446
2013,11,704247
2013,12,739396
2014,1,556132
2014,2,546177
2014,3,420093
2014,4,435830
2014,5,510705
2014,6,471658
2014,7,664369
2014,8,574355
2014,9,484275
2014,10,662692
2014,11,728634
2014,12,425102
2015,1,723418
2015,2,410940
2015,3,491447
2015,4,263514
2015,5,357309
2015,6,317947
2015,7,529369
2015,8,383237
2015,9,491032
2015,10,415683
2015,11,543327
2015,12,334542
2016,1,273310
2016,2,361370
2016,3,240894
2016,4,392431
2016,5,441290
2016,6,273007
2016,7,384201
2016,8,378611
2016,9,526409
2016,10,354654
2016,11,262094
2016,12,580105
2017,1,342621
2017,2,227183
2017,3,286516
2017,4,142375
2017,5,228540
2017,6,67342
2017,7,283626
2017,8,248546
2017,9,241964
2017,10,170871
2017,11,268727
2017,12,259786
2018,1,150725
2018,2,185348
2018,3,195013
2018,4,94103
2018,5,134182
2018,6,111592
2018,7,188033
2018,8,211995
2018,9,214996
2018,10,130553
2018,11,265187
2018,12,100036
2019,1,146933
2019,2,58681
2019,3,64784
2019,4,76352
2019,5,44658
2019,6,70199
2019,7,52715
2019,8,75369
2019,9,92781
2019,10,137811
2019,11,121347
2019,12,85790
